"Table 1.12 Factors affecting occupational utilization, projected 2019–29",,,,
Occupation Title,Occupation Code,Industry Title,Industry Code,Factors affecting occupational utilization
Billing and posting clerks,43–3021,Direct health and medical insurance carriers,524114,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, automating billing activities, requiring fewer clerks."
Billing and posting clerks,43–3021,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, automating billing activities, requiring fewer clerks. "
Billing and posting clerks,43–3021,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Productivity change – share decreases as automated billing software will allow more billing work to be done by fewer employees.
"Bookkeeping, accounting, and auditing clerks",43–3031,Total employment,TE1000,Productivity change – share decreases as automated bookkeeping software will allow more bookkeeping work to be done by fewer employees.
"Bookkeeping, accounting, and auditing clerks",43–3031,"Credit intermediation and related activities (5221,3)",5220A1,Productivity change – share decreases as automated bookkeeping software will allow more bookkeeping work to be done by fewer employees.
"Bookkeeping, accounting, and auditing clerks",43–3031,"Accounting, tax preparation, bookkeeping, and payroll services",541200,"Productivity change – share decreases as automated bookkeeping software will allow more bookkeeping work to be done by fewer employees. "
Payroll and timekeeping clerks,43–3051,Total employment,TE1000,"Productivity change – share decreases as more payroll and timekeeping work is automated, reducing the need for these workers."
Procurement clerks,43–3061,Total employment,TE1000,"Productivity change – share decreases as procurement processes are increasingly automated, reducing the need for these workers."
Tellers,43–3071,Other nondepository credit intermediation,522290,"Capital/labor substitution – share decreases as various types of technology, including online and mobile applications, enhanced ATMs, and video teller kiosks, will perform tasks currently performed by tellers."
Tellers,43–3071,"Credit intermediation and related activities (5221,3)",5220A1,"Capital/labor substitution – share decreases as various types of technology, including online and mobile applications, enhanced ATMs, and video teller kiosks, will perform tasks currently performed by tellers."
Correspondence clerks,43–4021,Total employment,TE1000,Productivity change – share decreases as increasingly capable automated document generators and online chat technology increase the productivity of these workers.
"Credit authorizers, checkers, and clerks",43–4041,Total employment,TE1000,"Productivity change – share decreases as the availability of online credit reports allows this work to be done more efficiently, reducing the need for these workers. "
Customer service representatives,43–4051,Total employment,TE1000,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,Professional and commercial equipment and supplies merchant wholesalers,423400,Productivity change – share decreases as an increasing use of advances in speech and language processing allow computers to handle customer service interactions with greater frequency that will require fewer customer service representatives to answer customer questions. 
Customer service representatives,43–4051,"Apparel, piece goods, and notions merchant wholesalers",424300,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,Wholesale electronic markets and agents and brokers,425000,Productivity change – share decreases as an increasing use of advances in speech and language processing allow computers to handle customer service interactions with greater frequency that will require fewer customer service representatives to answer customer questions. 
Customer service representatives,43–4051,"Data processing, hosting, and related services",518000,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,Other nondepository credit intermediation,522290,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,"Credit intermediation and related activities (5221,3)",5220A1,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,Direct health and medical insurance carriers,524114,Productivity change – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as advances in speech, language, data, and images processing allow computers to handle customer service interactions with greater frequency. "
Customer service representatives,43–4051,Insurance agencies and brokerages,524210,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
Customer service representatives,43–4051,Other insurance related activities,524290,Capital/labor substitution – share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency. 
File clerks,43–4071,Total employment,TE1000,Occupational substitution – share decreases as continued adoption of digital records permits other occupations to file and retrieve records on their own.
"Interviewers, except eligibility and loan",43–4111,Total employment,TE1000,"Productivity change, occupational substitution – share decreases as digital data collection allows interviewers to focus on more complex and nuanced tasks. In some cases, workers such as general office clerks are likely to take on duties of interviewers when a dedicated interviewer can no longer be justified. "
"Library assistants, clerical",43–4121,Other information services,519000,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
"Library assistants, clerical",43–4121,Elementary and secondary schools; local,611103,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
"Library assistants, clerical",43–4121,Junior colleges; state,611202,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
"Library assistants, clerical",43–4121,Junior colleges; local,611203,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
"Library assistants, clerical",43–4121,"Colleges, universities, and professional schools; private",611305,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
"Library assistants, clerical",43–4121,"Colleges, universities, and professional schools; state",611302,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
"Library assistants, clerical",43–4121,"Local government, excluding education and hospitals",999300,"Demand change – share decreases as library usage declines, resulting in less of a need for library assistants. "
New accounts clerks,43–4141,Total employment,TE1000,"Productivity change – share decreases as bank customers increasingly use online and mobile tools to open bank accounts, reducing the need for these workers."
New accounts clerks,43–4141,"Credit intermediation and related activities (5221,3)",5220A1,"Productivity change – share decreases as bank customers increasingly use online and mobile tools to open bank accounts, reducing the need for these workers. "
Order clerks,43–4151,Total employment,TE1000,Capital/labor substitution – share decreases as establishments continue to adopt automated order-taking systems. 
Order clerks,43–4151,"Apparel, piece goods, and notions merchant wholesalers",424300,Capital/labor substitution – share decreases as establishments continue to adopt automated order-taking systems.
Order clerks,43–4151,Electronic shopping and mail-order houses,454100,Capital/labor substitution – share decreases as establishments continue to adopt automated order-taking systems. 
"Human resources assistants, except payroll and timekeeping",43–4161,Total employment,TE1000,Capital/labor substitution – share decreases as improved recordkeeping systems allow human resources specialists to maintain records with less assistance from human resource assistants. 
Receptionists and information clerks,43–4171,Total employment,TE1000,Capital/labor substitution – share decreases as technology such as automated phone trees will continue to be used. 
Receptionists and information clerks,43–4171,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as companies use computer software, enhanced with AI technology, to automate data collection, document preparation, and other tasks performed by clerks. "
Receptionists and information clerks,43–4171,Office administrative services,561100,Capital/labor substitution – share decreases as technology such as automated phone trees will continue to be used. 
Couriers and messengers,43–5021,Legal services,541100,Capital/labor substitution – share decreases as legally binding electronic signatures become more accepted and widely used and as more states adopt electronic document submission.
Couriers and messengers,43–5021,Couriers and express delivery services,492100,"Capital/labor substitution – share decreases as innovations such as e-delivery (and e-signatures) help get important and time-sensitive documents signed and delivered online, eliminating the expenses of printing and shipping signed documents for same day or overnight delivery. "
Couriers and messengers,43–5021,Local messengers and local delivery,492200,"Capital/labor substitution – share decreases as innovations such as e-delivery (and e-signatures) help get important and time-sensitive documents signed and delivered online, eliminating the expenses of printing and shipping signed documents for same day or overnight delivery. "
Couriers and messengers,43–5021,"Credit intermediation and related activities (5221,3)",5220A1,"Capital/labor substitution – share decreases as innovations such as e-delivery (and e-signatures) help get important and time-sensitive documents signed and delivered online, eliminating the expenses of printing and shipping signed documents for same day or overnight delivery."
"Dispatchers, except police, fire, and ambulance",43–5032,Total employment,TE1000,Productivity change – share decreases as streamlined and automated dispatch systems process relatively simple transactions with less input from dispatchers.
"Dispatchers, except police, fire, and ambulance",43–5032,Taxi and limousine service,485300,Productivity change – share decreases as streamlined and automated dispatch systems process relatively simple transactions with less input from dispatchers.
"Dispatchers, except police, fire, and ambulance",43–5032,Security systems services,561620,Productivity change – share decreases as streamlined and automated dispatch systems process relatively simple transactions with less input from dispatchers.
"Meter readers, utilities",43–5041,Total employment,TE1000,"Capital/labor substitution – share decreases as alternative remote meter reading technologies (e.g., AMR, AMI, and other smart systems) increasingly replace meter readers, allowing meter readers to be more productive and efficient. Innovative technologies allows government and companies to remotely read meters more frequently. "
"Postal service mail sorters, processors, and processing machine operators",43–5053,Postal service,491000,Capital/labor substitution – share decreases as continued gains are realized from improved sorting and tracking equipment and processes. 
"Shipping, receiving, and inventory clerks",43–5071,Total employment,TE1000,"Productivity change, demand change – share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales. "
"Shipping, receiving, and inventory clerks",43–5071,Animal food manufacturing,311100,"Productivity change – share decreases as automated filling, bagging, packing, and palletizing equipment is used to track products. "
"Shipping, receiving, and inventory clerks",43–5071,Electronic shopping and mail-order houses,454100,"Productivity change, demand change – share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales. "
"Shipping, receiving, and inventory clerks",43–5071,Warehousing and storage,493000,"Productivity change, demand change – share decreases as continued adoption of tracking technologies, such as sensors, bar codes, and RFID, increases the ability of workers to process shipped and received packages. The share decreases are partially offset by the increased demand for shipping and receiving services due to the increased online sales. "
Executive secretaries and executive administrative assistants,43–6011,Total employment,TE1000,Occupational substitution – share decreases as improved technology allows workers to perform with fewer secretaries.
Executive secretaries and executive administrative assistants,43–6011,Direct health and medical insurance carriers,524114,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate routine back office functions, such as documents preparation."
Executive secretaries and executive administrative assistants,43–6011,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as companies use computer software, enhanced with AI technology, to automate routine clerical and office tasks."
Executive secretaries and executive administrative assistants,43–6011,Office administrative services,561100,"Occupational substitution – share decreases as improved technology allows workers to perform with fewer secretaries. "
Legal secretaries and administrative assistants,43–6012,Total employment,TE1000,Occupational substitution – share decreases as improved technology allows lawyers and paralegals to perform with fewer secretaries.
Medical secretaries and administrative assistants,43–6013,Veterinary services,541940,Productivity change – share decreases as improved technology allows workers to perform with fewer secretaries. 
"Secretaries and administrative assistants, except legal, medical, and executive",43–6014,Total employment,TE1000,Occupational substitution – share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43–6014,Direct health and medical insurance carriers,524114,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate some office clerical functions, such as documents preparation."
"Secretaries and administrative assistants, except legal, medical, and executive",43–6014,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as companies use computer software, enhanced with AI technology, to automate routine office tasks."
"Secretaries and administrative assistants, except legal, medical, and executive",43–6014,Insurance agencies and brokerages,524210,Occupational substitution – share decreases as improved technology allows work to be performed with fewer secretaries.
"Secretaries and administrative assistants, except legal, medical, and executive",43–6014,Other insurance related activities,524290,"Productivity change – share decreases as companies use computer software, enhanced with AI technology, robotic process automation, optical character recognition, and natural language processing, to automate routine office tasks."
"Secretaries and administrative assistants, except legal, medical, and executive",43–6014,Office administrative services,561100,Occupational substitution – share decreases as improved technology allows work to be performed with fewer secretaries.
Data entry keyers,43–9021,Total employment,TE1000,"Demand change, capital/labor substitution – share decreases as direct data entry in mobile devices and handwriting recognition software become more common, replacing data entry keyers. "
Data entry keyers,43–9021,Direct health and medical insurance carriers,524114,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate data entry, requiring fewer data entry workers. "
Word processors and typists,43–9022,Total employment,TE1000,Occupational substitution – share decreases as other workers assume the functions of typists due to the ubiquity of typing skills.
Desktop publishers,43–9031,Total employment,TE1000,"Demand change – share decreases as an increased focus on digital publishing, a format that includes dynamic design elements like animation, will lead to less demand for desktop publishers to design printed materials. In addition, publishing software improvements make it easier for other workers, such as editors and graphic designers, to perform the duties of desktop publishers. "
Desktop publishers,43–9031,Printing and related support activities,323000,"Demand change – share decreases as an increased focus on digital publishing, a format that includes dynamic design elements like animation, will lead to less demand for desktop publishers to design printed materials. In addition, publishing software improvements make it easier for other workers, such as editors and graphic designers, to perform the duties of desktop publishers. "
Desktop publishers,43–9031,Newspaper publishers,511110,"Demand change – share decreases as an increased focus on digital publishing, a format that includes dynamic design elements like animation, will lead to less demand for desktop publishers to design printed materials. In addition, publishing software improvements make it easier for other workers, such as editors and graphic designers, to perform the duties of desktop publishers. "
Insurance claims and policy processing clerks,43–9041,Direct health and medical insurance carriers,524114,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing. "
Insurance claims and policy processing clerks,43–9041,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as increasing adaptation of automated claim processing systems and platforms that are able to perform most routine tasks, along submitting and processing documents, enable customers to file claims on their own. "
Insurance claims and policy processing clerks,43–9041,Insurance agencies and brokerages,524210,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing. "
Insurance claims and policy processing clerks,43–9041,Other insurance related activities,524290,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate claims and policy processing. "
"Mail clerks and mail machine operators, except postal service",43–9051,Total employment,TE1000,Capital/labor substitution – share decreases as companies use machines with programmable software that continues to supplant some office mailing tasks. Share will decrease as correspondence and communication is increasingly done online and organizations utilize administrative staff to handle incoming and outgoing mail.
"Office clerks, general",43–9061,Total employment,TE1000,"Occupational substitution – share decreases as increased use of technology, such as electronic filing systems and file sharing software allows other workers in offices to perform the duties of general office clerks."
"Office clerks, general",43–9061,"Apparel, piece goods, and notions merchant wholesalers",424300,"Occupational substitution, capital/labor substitution – share decreases as use of technology such as electronic filing systems allow other workers to perform the duties done by general office clerks and makes all workers more productive."
"Office clerks, general",43–9061,Direct health and medical insurance carriers,524114,"Productivity change – share decreases as firms increase the use of computer software, enhanced with AI technology, to automate some clerical functions, such as typing and document preparation."
"Office clerks, general",43–9061,"Direct insurance (except life, health, and medical) carriers",524120,"Productivity change – share decreases as companies use computer software, enhanced with AI technology, to automate routine office clerical tasks such as document preparation."
"Office clerks, general",43–9061,Other insurance related activities,524290,"Productivity change – share decreases as companies use computer software, enhanced with AI technology, robotic process automation, optical character recognition, natural language processing, automate routine office tasks."
"Office clerks, general",43–9061,Office administrative services,561100,"Occupational substitution – share decreases as increased use of technology, such as electronic filing systems and file sharing software allows other workers in offices to perform the duties of general office clerks. "
"Office machine operators, except computer",43–9071,Total employment,TE1000,Demand change – share decreases as offices become paperless and continue to use technology such as electronic filing systems.
"Graders and sorters, agricultural products",45–2041,Total employment,TE1000,Capital/labor substitution – share decreases as enhanced technology will automatically sort and grade a growing number of agricultural products.
Agricultural equipment operators,45–2091,Crop production,111000,"Demand change – share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45–2091,Animal production and aquaculture,112000,"Demand change – share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45–2091,Support activities for agriculture and forestry,115000,"Demand change – share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45–2091,Farm product raw material merchant wholesalers,424500,"Demand change – share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
Agricultural equipment operators,45–2091,"Merchant wholesalers, nondurable goods (4241,7,9)",4240A3,"Demand change – share increases as more sophisticated agricultural equipment is increasingly used for farming and related operations, resulting in a greater need for the workers who operate this equipment and less of a need for workers to do tasks by hand."
"Farmworkers and laborers, crop, nursery, and greenhouse",45–2092,Total employment,TE1000,"Capital/labor substitution – share decreases as the mechanization of agricultural operations is expected to reduce demand for these workers, with a corresponding increase in demand for agricultural equipment operators."
"Farmworkers and laborers, crop, nursery, and greenhouse",45–2092,Crop production,111000,"Capital/labor substitution – share decreases as the mechanization of agricultural operations is expected to reduce demand for these workers, with a corresponding increase in demand for agricultural equipment operators."
"Farmworkers, farm, ranch, and aquacultural animals",45–2093,Total employment,TE1000,"Capital/labor substitution – share decreases as the mechanization of agricultural operations is expected to reduce demand for these workers, with a corresponding increase in demand for agricultural equipment operators.
"
Forest and conservation workers,45–4011,Total employment,TE1000,Productivity change – share decreases as the automation of some manual labor tasks in forest and conservation work reduces the needed number of these workers.
Fallers,45–4021,Total employment,TE1000,Occupational substitution – share decreases as logging equipment operators will continue to take over some of the tasks performed by fallers due increased mechanization.
Logging equipment operators,45–4022,Total employment,TE1000,"Occupational substitution – share increases as logging equipment operators will continue to take over some of the tasks performed by fallers and other logging workers who perform tasks by hand, given increased mechanization in the industry."
First-line supervisors of construction trades and extraction workers,47–1011,Electrical contractors and other wiring installation contractors,238210,"Demand change – share increases as demand for wind and solar installations and wiring for device connectivity and electrical vehicles charging, will increase the need for electricians and their supervisors to connect the electrical generation sources to the electrical grid. "
Boilermakers,47–2011,Nonresidential building construction,236200,Demand change – share decreases as coal plants are closed or converted to natural gas. 
Boilermakers,47–2011,"Plumbing, heating, and air-conditioning contractors",238220,Demand change – share decreases as coal plants are closed or converted to natural gas. 
Brickmasons and blockmasons,47–2021,Residential building construction,236100,Sourcing change – share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these workers needed onsite to install. 
Brickmasons and blockmasons,47–2021,Nonresidential building construction,236200,Sourcing change – share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these workers needed onsite to install. 
Brickmasons and blockmasons,47–2021,Masonry contractors,238140,Sourcing change – share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these workers needed onsite to install. 
Brickmasons and blockmasons,47–2021,Nonmetallic mineral product manufacturing,327000,Sourcing change – share increases as more brick veneer work is prepared offsite and panels are shipped from factories. 
Stonemasons,47–2022,Total employment,TE1000,Occupational substitution – share decreases as brickmasons and blockmasons increasingly install more stone products instead of stonemasons. 
Carpenters,47–2031,Residential building construction,236100,Demand change – share decreases as the use of prefabricated materials replaces onsite carpenter assembly. 
Carpenters,47–2031,Nonresidential building construction,236200,Demand change – share decreases as the use of prefabricated materials replace onsite carpenter assembly. 
Carpet installers,47–2041,Total employment,TE1000,Demand change – share decreases as other floor coverings replace carpet. 
"Floor layers, except carpet, wood, and hard tiles",47–2042,Total employment,TE1000,Demand change – share increases as more consumers choose resilient floor coverings. 
Tile and stone setters,47–2044,Total employment,TE1000,Demand change – share increases as tile and natural stone continue to gain share in overall flooring market sales. 
Cement masons and concrete finishers,47–2051,Total employment,TE1000,Sourcing change – share decreases as more precast and prefabricated concrete products are installed and fewer workers are needed onsite to build forms and pour concrete. 
Cement masons and concrete finishers,47–2051,Poured concrete foundation and structure contractors,238110,"Sourcing change, demand change – share decreases as more precast and prefabricated concrete products are installed which is partially offset by the increased demand for polished concrete. "
Cement masons and concrete finishers,47–2051,Other specialty trade contractors,238900,"Sourcing change, demand change – share decreases as more precast and prefabricated concrete products are installed which is partially offset by the increased demand for polished concrete. "
Cement masons and concrete finishers,47–2051,Nonmetallic mineral product manufacturing,327000,Sourcing change – share increases as more precast and prefabricated concrete products are built off-site to be installed on-site by other workers. 
Construction laborers,47–2061,Residential building construction,236100,Demand change – share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components. 
Construction laborers,47–2061,Nonresidential building construction,236200,Demand change – share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components.
Construction laborers,47–2061,Masonry contractors,238140,Demand change – share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components. 
Construction laborers,47–2061,Other specialty trade contractors,238900,Demand change – share increases as construction laborers perform more tasks on construction sites related to the installation of prefabricated components. 
Tapers,47–2082,Residential building construction,236100,Productivity change – share decreases as continuous flow equipment speeds up the taping and finishing process. 
Tapers,47–2082,Nonresidential building construction,236200,Productivity change – share decreases as continuous flow equipment speeds up the taping and finishing process. 
Tapers,47–2082,Drywall and insulation contractors,238310,Productivity change – share decreases as continuous flow equipment speeds up the taping and finishing process. 
Tapers,47–2082,Painting and wall covering contractors,238320,Productivity change – share decreases as continuous flow equipment speeds up the taping and finishing process. 
Electricians,47–2111,Residential building construction,236100,Demand change – share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid. 
Electricians,47–2111,Nonresidential building construction,236200,Demand change – share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid. 
Electricians,47–2111,Power and communication line and related structures construction,237130,Demand change – share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid. 
Electricians,47–2111,Electrical contractors and other wiring installation contractors,238210,"Demand change – share increases as demand for wind and solar installations and wiring for device connectivity and electrical vehicles charging, will increase the need for electricians to connect the electrical generation sources to the electrical grid. "
Electricians,47–2111,"Plumbing, heating, and air-conditioning contractors",238220,Demand change – share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid. 
Electricians,47–2111,Other specialty trade contractors,238900,Demand change – share increases as demand for wind and solar installations will increase the need for electricians to connect the electrical generation sources to the electrical grid. 
Sheet metal workers,47–2211,"Plumbing, heating, and air-conditioning contractors",238220,Sourcing change – share decreases as the use of prefabricated duct systems will reduce the need for sheet metal workers on residential construction sites.
Solar photovoltaic installers,47–2231,Solar electric power generation,221114,Demand change – share increases as there are a growing number of utility sized solar operations which will need some panel replacement as they age or suffer damage due to weather. PV Installers will be needed to replace the defective modules. 
Solar photovoltaic installers,47–2231,Electrical contractors and other wiring installation contractors,238210,"Demand change – share increases due to the large number of retail companies with green initiatives, as well as government-led initiatives to install solar panels. "
Solar photovoltaic installers,47–2231,"Plumbing, heating, and air-conditioning contractors",238220,"Demand change – share increases due to the large number of retail companies with green initiatives, as well as government-led initiatives to install solar panels. "
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47–3011,Masonry contractors,238140,Sourcing change – share decreases as the increasing use of offsite manufactured prefabricated panels instead of onsite smaller bricks reduces the number of these helpers needed onsite to install. 
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47–3011,Nonmetallic mineral product manufacturing,327000,Sourcing change – share increases as more brick veneer work is prepared offsite and panels are shipped from factories. 
Helpers--carpenters,47–3012,Residential building construction,236100,Demand change – share decreases as the use of prefabricated materials replaces onsite carpenter and carpenters helpers assembly. 
Rail-track laying and maintenance equipment operators,47–4061,Other heavy and civil engineering construction,237900,Demand change – share increases as more freight transportation along with increased investment in rail will lead to more rail repair. 
"Roof bolters, mining",47–5043,Coal mining,212100,Demand change – share decreases as the industry segment increasingly prefers surface mining over underground mines. 
"Loading and moving machine operators, underground mining",47–5044,Coal mining,212100,Capital/labor substitution – share decreases as the industry adopts autonomous vehicles. 
"Radio, cellular, and tower equipment installers and repairers",49–2021,Power and communication line and related structures construction,237130,"Demand change – share increases as innovative deployment of 5G smart technology requires extensive upgrades to existing and new telecommunications infrastructure, such as installing small cells, and replacing or repairing towers, antennas or auxiliary equipment. "
"Radio, cellular, and tower equipment installers and repairers",49–2021,Electrical contractors and other wiring installation contractors,238210,"Demand change – share increases as innovative deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes. "
"Radio, cellular, and tower equipment installers and repairers",49–2021,Telecommunications,517000,"Demand change – share increases as innovative deployment of 5G smart technology requires extensive upgrades to existing and new telecommunications infrastructure, such as installing small cells, and replacing or repairing towers, antennas or auxiliary equipment. "
"Telecommunications equipment installers and repairers, except line installers",49–2022,Power and communication line and related structures construction,237130,"Demand change – share increases as the deployment of 5G technology, fiber optic cables, and small cells requires massive installations and maintenance of various telecommunication equipment. "
"Telecommunications equipment installers and repairers, except line installers",49–2022,Telecommunications,517000,"Demand change – share increases as the deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes. "
"Electrical and electronics installers and repairers, transportation equipment",49–2093,"Local government, excluding education and hospitals",999300,"Demand change – share increases as local governments expand rail service."
"Electronic equipment installers and repairers, motor vehicles",49–2096,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",4230A1,Demand change – share decreases as automotive electronics needs are increasingly met by smartphones and factory–installed options.
"Electronic equipment installers and repairers, motor vehicles",49–2096,"Automotive parts, accessories, and tire stores",441300,Demand change – share decreases as automotive electronics needs are increasingly met by smartphones and factory–installed options.
"Electronic equipment installers and repairers, motor vehicles",49–2096,Electronics and appliance stores,443000,Demand change – share decreases as automotive electronics needs are increasingly met by smartphones and factory–installed options.
Automotive service technicians and mechanics,49–3023,Automobile dealers,441100,"Demand change – share decreases as demand for vehicle maintenance and repair declines due to vehicles being built more reliably, and improvements in vehicle technology will lead to less required maintenance."
Automotive service technicians and mechanics,49–3023,Gasoline stations,447000,"Demand change – share decreases as demand for vehicle maintenance and repair declines due to vehicles being built more reliable, and improvements in vehicle technology will lead to less required maintenance."
Automotive service technicians and mechanics,49–3023,Automotive mechanical and electrical repair and maintenance,811110,"Demand change – share decreases as demand for vehicle maintenance and repair declines due to vehicles being built more reliable, and improvements in vehicle technology will lead to less required maintenance."
Automotive service technicians and mechanics,49–3023,Other automotive repair and maintenance,811190,"Demand change – share decreases as demand for vehicle maintenance and repair declines due to vehicles being built more reliable, and improvements in vehicle technology will lead to less required maintenance."
Automotive service technicians and mechanics,49–3023,"Local government, excluding education and hospitals",999300,"Demand change – share decreases as demand for vehicle maintenance and repair declines due to vehicles being built more reliable, and improvements in vehicle technology will lead to less required maintenance."
Bus and truck mechanics and diesel engine specialists,49–3031,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,423100,"Demand change – share increases as buses, trucks, and other commercial vehicles move to electric engines and away from gas and diesel-powered engines. This occupation includes workers who repair both diesel and non-diesel engines, and they have the knowledge to provide assistance and services to wholesale customers. "
Farm equipment mechanics and service technicians,49–3041,Crop production,111000,"Demand change – share increases as demand for farm equipment repair increases with more agricultural mechanization, requiring a greater share of farm equipment mechanics."
Rail car repairers,49–3043,"Local government, excluding education and hospitals",999300,Demand change – share increases as demand for rail travel increases based on rail ridership outpacing population growth. 
Tire repairers and changers,49–3093,Gasoline stations,447000,Demand change – share decreases as gasoline stations continue to reduce their automotive service offerings.
Industrial machinery mechanics,49–9041,Animal food manufacturing,311100,Demand change – share increases as manufacturing automation increases requiring more maintenance and repair. 
Industrial machinery mechanics,49–9041,Sugar and confectionery product manufacturing,311300,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Fruit and vegetable preserving and specialty food manufacturing,311400,Demand change – share increases as automation in manufacturing will increase demand for these workers.
Industrial machinery mechanics,49–9041,Dairy product manufacturing,311500,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Animal slaughtering and processing,311600,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Bakeries and tortilla manufacturing,311800,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Other food manufacturing,311900,Demand change – share increases as automation in manufacturing will increase demand for these workers.
Industrial machinery mechanics,49–9041,Beverage manufacturing,312100,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Tobacco manufacturing,312200,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Textile mills,313000,Demand change – share increases as automation in textile manufacturing will increase demand for these workers.
Industrial machinery mechanics,49–9041,Textile product mills,314000,Demand change – share increases as automation in textile manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Apparel manufacturing,315000,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,"Veneer, plywood, and engineered wood product manufacturing",321200,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
